date,series_id,series_name,value,source_file,sheet
1952-09-01,cpi_total_index,CPI Index — Total,68.999813179,Consumer Price Index - Total.xlsx,PRI
1952-10-01,cpi_total_index,CPI Index — Total,67.961326222,Consumer Price Index - Total.xlsx,PRI
1952-11-01,cpi_total_index,CPI Index — Total,66.666867711,Consumer Price Index - Total.xlsx,PRI
1952-12-01,cpi_total_index,CPI Index — Total,66.35485532,Consumer Price Index - Total.xlsx,PRI
1953-01-01,cpi_total_index,CPI Index — Total,60.177209373,Consumer Price Index - Total.xlsx,PRI
1953-02-01,cpi_total_index,CPI Index — Total,51.66674143,Consumer Price Index - Total.xlsx,PRI
1953-03-01,cpi_total_index,CPI Index — Total,39.394055701,Consumer Price Index - Total.xlsx,PRI
1953-04-01,cpi_total_index,CPI Index — Total,29.860940084,Consumer Price Index - Total.xlsx,PRI
1953-05-01,cpi_total_index,CPI Index — Total,27.333465621,Consumer Price Index - Total.xlsx,PRI
1953-06-01,cpi_total_index,CPI Index — Total,25.477640206,Consumer Price Index - Total.xlsx,PRI
1953-07-01,cpi_total_index,CPI Index — Total,23.456746688,Consumer Price Index - Total.xlsx,PRI
1953-08-01,cpi_total_index,CPI Index — Total,21.818195775,Consumer Price Index - Total.xlsx,PRI
1953-09-01,cpi_total_index,CPI Index — Total,21.301806191,Consumer Price Index - Total.xlsx,PRI
1953-10-01,cpi_total_index,CPI Index — Total,19.653227858,Consumer Price Index - Total.xlsx,PRI
1953-11-01,cpi_total_index,CPI Index — Total,18.857218335,Consumer Price Index - Total.xlsx,PRI
1953-12-01,cpi_total_index,CPI Index — Total,19.101189555,Consumer Price Index - Total.xlsx,PRI
1954-01-01,cpi_total_index,CPI Index — Total,18.231931115,Consumer Price Index - Total.xlsx,PRI
1954-02-01,cpi_total_index,CPI Index — Total,18.681364566,Consumer Price Index - Total.xlsx,PRI
1954-03-01,cpi_total_index,CPI Index — Total,17.934853689,Consumer Price Index - Total.xlsx,PRI
1954-04-01,cpi_total_index,CPI Index — Total,16.042914763,Consumer Price Index - Total.xlsx,PRI
1954-05-01,cpi_total_index,CPI Index — Total,14.136130862,Consumer Price Index - Total.xlsx,PRI
1954-06-01,cpi_total_index,CPI Index — Total,8.6294718131,Consumer Price Index - Total.xlsx,PRI
1954-07-01,cpi_total_index,CPI Index — Total,8.5000205819,Consumer Price Index - Total.xlsx,PRI
1954-08-01,cpi_total_index,CPI Index — Total,10.447714169,Consumer Price Index - Total.xlsx,PRI
1954-09-01,cpi_total_index,CPI Index — Total,10.731806021,Consumer Price Index - Total.xlsx,PRI
1954-10-01,cpi_total_index,CPI Index — Total,9.6618017558,Consumer Price Index - Total.xlsx,PRI
1954-11-01,cpi_total_index,CPI Index — Total,9.6153524121,Consumer Price Index - Total.xlsx,PRI
1954-12-01,cpi_total_index,CPI Index — Total,7.547209265,Consumer Price Index - Total.xlsx,PRI
1955-01-01,cpi_total_index,CPI Index — Total,6.5421293657,Consumer Price Index - Total.xlsx,PRI
1955-02-01,cpi_total_index,CPI Index — Total,5.5555066905,Consumer Price Index - Total.xlsx,PRI
1955-03-01,cpi_total_index,CPI Index — Total,5.5299061738,Consumer Price Index - Total.xlsx,PRI
1955-04-01,cpi_total_index,CPI Index — Total,5.9907195283,Consumer Price Index - Total.xlsx,PRI
1955-05-01,cpi_total_index,CPI Index — Total,5.504540516,Consumer Price Index - Total.xlsx,PRI
1955-06-01,cpi_total_index,CPI Index — Total,8.4112246332,Consumer Price Index - Total.xlsx,PRI
1955-07-01,cpi_total_index,CPI Index — Total,7.3731595921,Consumer Price Index - Total.xlsx,PRI
1955-08-01,cpi_total_index,CPI Index — Total,4.0540579091,Consumer Price Index - Total.xlsx,PRI
1955-09-01,cpi_total_index,CPI Index — Total,5.286298754,Consumer Price Index - Total.xlsx,PRI
1955-10-01,cpi_total_index,CPI Index — Total,4.8457854821,Consumer Price Index - Total.xlsx,PRI
1955-11-01,cpi_total_index,CPI Index — Total,3.5087889853,Consumer Price Index - Total.xlsx,PRI
1955-12-01,cpi_total_index,CPI Index — Total,4.8245327749,Consumer Price Index - Total.xlsx,PRI
1956-01-01,cpi_total_index,CPI Index — Total,4.3859515117,Consumer Price Index - Total.xlsx,PRI
1956-02-01,cpi_total_index,CPI Index — Total,4.8245327749,Consumer Price Index - Total.xlsx,PRI
1956-03-01,cpi_total_index,CPI Index — Total,6.5502684572,Consumer Price Index - Total.xlsx,PRI
1956-04-01,cpi_total_index,CPI Index — Total,6.9565576535,Consumer Price Index - Total.xlsx,PRI
1956-05-01,cpi_total_index,CPI Index — Total,8.2608605866,Consumer Price Index - Total.xlsx,PRI
1956-06-01,cpi_total_index,CPI Index — Total,7.3276091504,Consumer Price Index - Total.xlsx,PRI
1956-07-01,cpi_total_index,CPI Index — Total,4.7211414453,Consumer Price Index - Total.xlsx,PRI
1956-08-01,cpi_total_index,CPI Index — Total,6.9264437172,Consumer Price Index - Total.xlsx,PRI
1956-09-01,cpi_total_index,CPI Index — Total,8.7865731835,Consumer Price Index - Total.xlsx,PRI
1956-10-01,cpi_total_index,CPI Index — Total,8.8234902811,Consumer Price Index - Total.xlsx,PRI
1956-11-01,cpi_total_index,CPI Index — Total,5.0847025548,Consumer Price Index - Total.xlsx,PRI
1956-12-01,cpi_total_index,CPI Index — Total,4.6024844062,Consumer Price Index - Total.xlsx,PRI
1957-01-01,cpi_total_index,CPI Index — Total,6.7227226162,Consumer Price Index - Total.xlsx,PRI
