date,boi_policy_rate_pct,cpi_total_index,dem_col1,dem_col2,eur_ils,gbp_ils,gdp_growth_annual_terms_pct,house_price_index,mortgage_volume_total,real_wage_avg_monthly,unemployment_25_64_pct,usd_ils
1952-09-01,,68.999813179,,,,,,,,,,
1952-10-01,,67.961326222,,,,,,,,,,
1952-11-01,,66.666867711,,,,,,,,,,
1952-12-01,,66.35485532,,,,,,,,,,
1953-01-01,,60.177209373,,,,,,,,,,
1953-02-01,,51.66674143,,,,,,,,,,
1953-03-01,,39.394055701,,,,,,,,,,
1953-04-01,,29.860940084,,,,,,,,,,
1953-05-01,,27.333465621,,,,,,,,,,
1953-06-01,,25.477640206,,,,,,,,,,
1953-07-01,,23.456746688,,,,,,,,,,
1953-08-01,,21.818195775,,,,,,,,,,
1953-09-01,,21.301806191,,,,,,,,,,
1953-10-01,,19.653227858,,,,,,,,,,
1953-11-01,,18.857218335,,,,,,,,,,
1953-12-01,,19.101189555,,,,,,,,,,
1954-01-01,,18.231931115,,,,,,,,,,
1954-02-01,,18.681364566,,,,,,,,,,
1954-03-01,,17.934853689,,,,,,,,,,
1954-04-01,,16.042914763,,,,,,,,,,
1954-05-01,,14.136130862,,,,,,,,,,
1954-06-01,,8.6294718131,,,,,,,,,,
1954-07-01,,8.5000205819,,,,,,,,,,
1954-08-01,,10.447714169,,,,,,,,,,
1954-09-01,,10.731806021,,,,,,,,,,
1954-10-01,,9.6618017558,,,,,,,,,,
1954-11-01,,9.6153524121,,,,,,,,,,
1954-12-01,,7.547209265,,,,,,,,,,
1955-01-01,,6.5421293657,,,,,,,,,,
1955-02-01,,5.5555066905,,,,,,,,,,
1955-03-01,,5.5299061738,,,,,,,,,,
1955-04-01,,5.9907195283,,,,,,,,,,
1955-05-01,,5.504540516,,,,,,,,,,
1955-06-01,,8.4112246332,,,,,,,,,,
1955-07-01,,7.3731595921,,,,,,,,,,
1955-08-01,,4.0540579091,,,,,,,,,,
1955-09-01,,5.286298754,,,,,,,,,,
1955-10-01,,4.8457854821,,,,,,,,,,
1955-11-01,,3.5087889853,,,,,,,,,,
1955-12-01,,4.8245327749,,,,,,,,,,
1956-01-01,,4.3859515117,,,,,,,,,,
1956-02-01,,4.8245327749,,,,,,,,,,
1956-03-01,,6.5502684572,,,,,,,,,,
1956-04-01,,6.9565576535,,,,,,,,,,
1956-05-01,,8.2608605866,,,,,,,,,,
1956-06-01,,7.3276091504,,,,,,,,,,
